prop_id,prop_type,province,city,location,bedrooms,bathrooms,area,purpose,date_added,price
1,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",5,5,500 Sq. Yd.,For Sale,6/28/2023,PKR5.2 Crore
2,Flat,Sindh,Karachi,"Cantt, Karachi, Sindh",4,3,289 Sq. Yd.,For Sale,6/29/2023,PKR3.75 Crore
3,House,Sindh,Karachi,"Cantt, Karachi, Sindh",6,5,375 Sq. Yd.,For Sale,6/29/2023,PKR7.5 Crore
4,House,Sindh,Karachi,"Cantt, Karachi, Sindh",5,5,500 Sq. Yd.,For Sale,6/29/2023,PKR9 Crore
5,Flat,Sindh,Karachi,"DHA Defence, Karachi, Sindh",3,2,182 Sq. Yd.,For Sale,6/29/2023,PKR6 Crore
6,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",1,1,61 Sq. Yd.,For Sale,6/28/2023,PKR52.25 Lakh
7,Flat,Sindh,Karachi,"Navy Housing Scheme Karsaz, Karachi, Sindh",6,4,389 Sq. Yd.,For Sale,6/28/2023,PKR9.5 Crore
8,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,106 Sq. Yd.,For Sale,6/28/2023,PKR93 Lakh
9,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",4,4,350 Sq. Yd.,For Sale,6/28/2023,PKR2.2 Crore
10,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",5,4,120 Sq. Yd.,For Sale,6/28/2023,PKR5.25 Crore
11,Flat,Sindh,Karachi,"DHA Defence, Karachi, Sindh",3,3,133 Sq. Yd.,For Sale,6/28/2023,PKR1.25 Crore
12,House,Sindh,Karachi,"Gulshan-e-Iqbal Town, Karachi, Sindh",8,8,400 Sq. Yd.,For Sale,6/28/2023,PKR8 Crore
13,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,125 Sq. Yd.,For Sale,6/28/2023,PKR1.38 Crore
14,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,106 Sq. Yd.,For Sale,6/28/2023,PKR68 Lakh
15,House,Sindh,Karachi,"North Karachi, Karachi, Sindh",5,4,160 Sq. Yd.,For Sale,6/28/2023,PKR3.05 Crore
16,House,Sindh,Karachi,"North Karachi, Karachi, Sindh",6,7,120 Sq. Yd.,For Sale,6/28/2023,PKR2.5 Crore
17,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",5,4,150 Sq. Yd.,For Sale,6/28/2023,PKR6.85 Crore
18,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",6,5,500 Sq. Yd.,For Sale,6/28/2023,PKR16.5 Crore
19,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,97 Sq. Yd.,For Sale,6/28/2023,PKR83.13 Lakh
20,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",5,5,120 Sq. Yd.,For Sale,6/28/2023,PKR4.4 Crore
21,Flat,Sindh,Karachi,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,167 Sq. Yd.,For Sale,6/28/2023,PKR1.58 Crore
22,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",5,5,500 Sq. Yd.,For Sale,6/28/2023,PKR4 Crore
23,Flat,Sindh,Karachi,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,172 Sq. Yd.,For Sale,6/28/2023,PKR1.4 Crore
24,Flat,Sindh,Karachi,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,167 Sq. Yd.,For Sale,6/28/2023,PKR90 Lakh
25,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",4,3,152 Sq. Yd.,For Sale,6/29/2023,PKR1.43 Crore
26,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,6/29/2023,PKR1.7 Crore
27,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",4,4,350 Sq. Yd.,For Sale,6/29/2023,PKR2.05 Crore
28,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,125 Sq. Yd.,For Sale,6/29/2023,PKR1.4 Crore
29,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,6/29/2023,PKR1.74 Crore
30,Flat,Sindh,Karachi,"Gulshan-e-Iqbal Town, Karachi, Sindh",2,2,113 Sq. Yd.,For Sale,6/28/2023,PKR1.25 Crore
31,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,106 Sq. Yd.,For Sale,6/29/2023,PKR65 Lakh
